,Transaction ID,Medium,Revenue
0,ICC7861574423,cpc,92.0
1,0HJ09006HX2583318,cpc,90.0
2,3LE24103NH5989709,cpc,90.0
3,ICC6346018847,cpc,90.0
4,ICC7344667754,cpc,90.0
5,ICC9199212595,cpc,90.0
6,ICC9703358288,cpc,90.0
7,ICC9716424443,cpc,90.0
8,ICC7844651138,cpc,85.0
9,ICC7353101830,cpc,84.5
10,ICC6842724192,cpc,83.0
11,8S456302U30662531,cpc,80.0
12,ICC6338699877,cpc,80.0
13,ICC6346612481,cpc,80.0
14,ICC6856845710,cpc,80.0
15,ICC8198581863,cpc,80.0
16,ICC8705277123,cpc,80.0
17,ICC9695301485,cpc,80.0
18,5C058840VK524164Y,cpc,77.0
19,0Y8321336P5207245,cpc,75.0
20,419530981T161743R,cpc,75.0
21,54W219297F621893W,cpc,75.0
22,ICC6841098381,cpc,75.0
23,ICC7840482234,cpc,75.0
24,ICC7840858104,cpc,75.0
25,ICC9195933531,cpc,75.0
26,ICC9198796395,cpc,75.0
27,0J37976756705731T,cpc,70.0
28,6JA70871PX071002M,cpc,70.0
29,8YN28581721041737,cpc,70.0
30,ICC6842500826,cpc,70.0
31,ICC7334958652,cpc,70.0
32,ICC7336057151,cpc,70.0
33,ICC7345874568,cpc,70.0
34,ICC7346234276,cpc,70.0
35,ICC8195840055,cpc,70.0
36,ICC8705567978,cpc,70.0
37,ICC9198210160,cpc,65.0
38,ICC9203520162,cpc,65.0
39,ICC7344463470,cpc,64.48
40,ICC6861684674,cpc,63.9
41,ICC6346298682,cpc,63.4
42,ICC7353079815,cpc,63.27
43,ICC7845921456,cpc,62.5
44,ICC8700017906,cpc,61.0
45,09602944SM1644442,cpc,60.0
46,0UU2990982019110W,cpc,60.0
47,0YC153314K8438840,cpc,60.0
48,12212203NJ264200V,cpc,60.0
49,17S49048BX377322S,cpc,60.0
50,1EL81439BF672320E,cpc,60.0
51,1FL088363Y254220Y,cpc,60.0
52,304562398U0573222,cpc,60.0
53,3G259607H6593904T,cpc,60.0
54,3N601446E7079933V,cpc,60.0
55,3VD18590DM145722X,cpc,60.0
56,48J679029U1248240,cpc,60.0
57,4HF82075EJ771421Y,cpc,60.0
58,4VV59970VA160160M,cpc,60.0
59,53G3699397362135T,cpc,60.0
60,68566215P8839143P,cpc,60.0
61,6ER78635R0065503L,cpc,60.0
62,6JL25319YP183044J,cpc,60.0
63,7HN56782NG6825136,cpc,60.0
64,7UY819530K194861J,cpc,60.0
65,8AK746936K205030N,cpc,60.0
66,8SR00527890800620,cpc,60.0
67,9DD999327M4431438,cpc,60.0
68,9SU90856AL9643037,cpc,60.0
69,9UM35549J43445607,cpc,60.0
70,9VU86163TX648453C,cpc,60.0
71,ICC6335618767,cpc,60.0
72,ICC6335959678,cpc,60.0
73,ICC6337483849,cpc,60.0
74,ICC6339350682,cpc,60.0
75,ICC6841117553,cpc,60.0
76,ICC6842637234,cpc,60.0
77,ICC6842736185,cpc,60.0
78,ICC7333954800,cpc,60.0
79,ICC7334503776,cpc,60.0
80,ICC7334960774,cpc,60.0
81,ICC7342325104,cpc,60.0
82,ICC7840089423,cpc,60.0
83,ICC7840161729,cpc,60.0
84,ICC7841218082,cpc,60.0
85,ICC7842216263,cpc,60.0
86,ICC8193667327,cpc,60.0
