# ----------------------------------------,,,,,"https://analytics.google.com/analytics/web/#/report/conversions-ecommerce-transaction/a203531w84011461p149197394/_u.date00=20181001&_u.date01=20181031&explorer-table.secSegmentId=analytics.medium&explorer-table.plotKeys=%5B%5D&explorer-table.rowCount=5000&explorer-table.advFilter=%5B%5B0,%22analytics.medium%22,%22PT%22,%22cpc%22,0%5D,%5B1,%22analytics.transactionRevenue%22,%22LT%22,%22100%22,0%5D%5D"
# Master View,,,,,
# Transactions,,,,,
# 20181001-20181031,,,,,
# ----------------------------------------,,,,,
,,,,,
Transaction ID,Medium,Revenue,Tax,Shipping,Quantity
ICC7861574423,cpc,£92.00,£23.00,£0.00,1
0HJ09006HX2583318,cpc,£90.00,£22.50,£0.00,1
3LE24103NH5989709,cpc,£90.00,£22.50,£0.00,3
ICC6346018847,cpc,£90.00,£0.00,£0.00,3
ICC7344667754,cpc,£90.00,£0.00,£0.00,1
ICC9199212595,cpc,£90.00,£22.50,£0.00,3
ICC9703358288,cpc,£90.00,£22.50,£0.00,1
ICC9716424443,cpc,£90.00,£0.00,£0.00,1
ICC7844651138,cpc,£85.00,£21.25,£0.00,1
ICC7353101830,cpc,£84.50,£21.13,£0.00,1
ICC6842724192,cpc,£83.00,£0.00,£0.00,1
8S456302U30662531,cpc,£80.00,£20.00,£0.00,4
ICC6338699877,cpc,£80.00,£20.00,£0.00,1
ICC6346612481,cpc,£80.00,£0.00,£0.00,1
ICC6856845710,cpc,£80.00,£20.00,£0.00,1
ICC8198581863,cpc,£80.00,£20.00,£0.00,2
ICC8705277123,cpc,£80.00,£20.00,£0.00,1
ICC9695301485,cpc,£80.00,£0.00,£0.00,2
5C058840VK524164Y,cpc,£77.00,£19.25,£0.00,1
0Y8321336P5207245,cpc,£75.00,£0.00,£0.00,1
419530981T161743R,cpc,£75.00,£18.75,£0.00,1
54W219297F621893W,cpc,£75.00,£18.75,£0.00,3
ICC6841098381,cpc,£75.00,£18.75,£0.00,1
ICC7840482234,cpc,£75.00,£18.75,£0.00,1
ICC7840858104,cpc,£75.00,£18.75,£0.00,1
ICC9195933531,cpc,£75.00,£18.75,£0.00,1
ICC9198796395,cpc,£75.00,£0.00,£0.00,1
0J37976756705731T,cpc,£70.00,£17.50,£0.00,1
6JA70871PX071002M,cpc,£70.00,£0.00,£0.00,1
8YN28581721041737,cpc,£70.00,£0.00,£0.00,1
ICC6842500826,cpc,£70.00,£0.00,£0.00,1
ICC7334958652,cpc,£70.00,£17.50,£0.00,1
ICC7336057151,cpc,£70.00,£0.00,£0.00,1
ICC7345874568,cpc,£70.00,£0.00,£0.00,1
ICC7346234276,cpc,£70.00,£0.00,£0.00,1
ICC8195840055,cpc,£70.00,£17.50,£0.00,1
ICC8705567978,cpc,£70.00,£17.50,£0.00,1
ICC9198210160,cpc,£65.00,£16.25,£0.00,1
ICC9203520162,cpc,£65.00,£0.00,£0.00,1
ICC7344463470,cpc,£64.48,£0.00,£0.00,1
ICC6861684674,cpc,£63.90,£0.00,£0.00,1
ICC6346298682,cpc,£63.40,£0.00,£0.00,1
ICC7353079815,cpc,£63.27,£15.82,£0.00,1
ICC7845921456,cpc,£62.50,£0.00,£0.00,1
